date,ageBetween20to34,ageBetween35to59,ageBetween5to19,ageGreaterThan60,ageUnder5,educationBachelorOrGreater,educationHighSchoolGraduate,geographyId,geographyName,households,incomeBelowPoverty,incomeBetween100to200,incomeBetween25to50,incomeBetween50to100,incomeGreater200,incomeLessThan25,landArea,medianIncome,myAreaIndicator,population,raceAsian,raceBlack,raceHispanic,raceNativeAmerican,raceWhite
2014-06-01,0.1934,0.2933,0.2374,0.2176,0.0583,0.1224,0.7351,40049,Garvin,13294,0.163,0.0805,0.3173,0.2713,0.0152,0.3155,777.53366817,38902.6866,False,25783,0.0004,0.0133,0.0458,0.0408,0.8997
2014-06-01,0.2037,0.3173,0.2296,0.1941,0.0553,0.1439,0.8092,40051,Grady,23826,0.164,0.13,0.2793,0.3119,0.0106,0.2682,1035.0360805,49574.6241,False,53911,0.0008,0.0126,0.0283,0.0254,0.9329
2014-06-01,0.2083,0.24,0.2799,0.2243,0.0475,0.1612,0.8627,40053,Grant,2408,0.128,0.0823,0.3188,0.3197,0.0129,0.2663,910.42265739,44399.3081,False,3347,0.0,0.0043,0.0436,0.0022,0.9499
2014-06-01,0.1821,0.2467,0.2051,0.3333,0.0328,0.1132,0.7859,40055,Greer,2755,0.219,0.0351,0.3487,0.2397,0.0028,0.3737,603.7484548,36600.8722,False,5358,0.0,0.0752,0.0541,0.0176,0.8531
2014-06-01,0.2052,0.2094,0.3226,0.1897,0.0731,0.1146,0.6001,40057,Harmon,1602,0.269,0.0476,0.3596,0.1989,0.016,0.3778,506.26823843,31106.2497,False,2320,0.0,0.0489,0.2632,0.0,0.688
2014-06-01,0.1764,0.1926,0.3383,0.1887,0.1039,0.1933,0.8214,40059,Harper,2026,0.115,0.0685,0.3456,0.3398,0.007,0.2391,1005.30179467,42144.7256,False,3069,0.0,0.0,0.1271,0.0003,0.8725
2014-06-01,0.1944,0.2755,0.2444,0.2333,0.0524,0.1077,0.6697,40061,Haskell,6219,0.175,0.0818,0.2671,0.2541,0.0175,0.3795,602.44644375,36546.233,False,11845,0.0021,0.0015,0.012,0.1278,0.8565
2014-06-01,0.1833,0.2716,0.2246,0.2757,0.0448,0.0969,0.7177,40063,Hughes,6196,0.259,0.0736,0.2863,0.235,0.0126,0.3925,784.67631671,34814.3723,False,11879,0.0002,0.0634,0.0222,0.166,0.7482
2014-06-01,0.2151,0.2854,0.2755,0.1456,0.0784,0.2024,0.8069,40065,Jackson,11776,0.169,0.1184,0.2891,0.2925,0.0106,0.2895,740.62922522,44435.6247,False,22656,0.003,0.0401,0.1944,0.0024,0.7601
2014-06-01,0.1923,0.2845,0.2491,0.2162,0.0579,0.1064,0.7031,40067,Jefferson,3378,0.216,0.0596,0.3325,0.2342,0.0067,0.367,754.90380534,33862.4636,False,5383,0.0,0.0041,0.0512,0.0258,0.9189
2014-06-01,0.1915,0.2595,0.262,0.217,0.07,0.1409,0.7007,40069,Johnston,5181,0.221,0.0476,0.3213,0.2801,0.01,0.341,637.58427173,38942.558,False,9806,0.0,0.0164,0.0308,0.1391,0.8137
